000000;1411;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1009025;1305;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1010160;1411;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1022003;1303;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1024939;1301;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1030217;1109;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1030412;1307;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1030418;1307;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1031387;1301;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1034727;1411;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1038806;1411;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1047434;1305;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1050953;1411;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1126110;1411;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1126493;1411;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1126687;1307;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1148026;1307;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1153913;1411;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1154515;1108;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1175557;1307;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1196476;1109;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1196479;1307;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1231782;1301;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1285217;1411;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1285557;1109;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1285785;1305;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1303351;1307;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1314918;1109;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1326477;1305;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1331212;1109;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1339404;1411;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1350510;1109;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1353879;1411;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1354013;1411;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1364615;1307;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1370096;1109;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1444812;1303;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1457211;1109;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1459040;1109;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1476411;1305;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1476893;1305;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1477130;1411;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1485993;1109;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1498008;1307;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1501047;1301;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1501935;1108;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1510835;1411;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1517974;1109;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1521671;1411;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
1527755;1109;NAO INDENTIFICADO;naoidentificado@ufcg.edu.br
